stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,stop_access
DIC,DIC,DAHISAR,DAHISAR,,19.2499,72.8593,,,0,,Asia/Kolkata,0,,,
DIG,DIG,DUGGIRALA,DUGGIRALA,,16.3277,80.6237,,,0,,Asia/Kolkata,0,,,
DIH,DIH,DHARUADIHI,DHARUADIHI,,21.9947,84.2232,,,0,,Asia/Kolkata,0,,,
DIL,DIL,DILAWARNAGAR,DILAWARNAGAR,,26.9599,80.6672,,,0,,Asia/Kolkata,0,,,
DIM,DIM,DHANSIMLA,DHANSIMLA,,23.2684,87.4635,,,0,,Asia/Kolkata,0,,,
DING,DING,DING,DING,,29.4609,75.2604,,,0,,Asia/Kolkata,0,,,
DINR,DINR,DIVINE NAGAR HALT (F,DIVINE NAGAR HALT (F,,10.287474,76.335969,,,0,,Asia/Kolkata,0,,,
DIPA,DIPA,DIPA,DIPA,,27.706403,94.847374,,,0,,Asia/Kolkata,0,,,
DIR,DIR,DHANAPUR ORISSA,DHANAPUR ORISSA,,18.9449,82.5071,,,0,,Asia/Kolkata,0,,,
DISA,DISA,DISA,DISA,,24.237085,72.17956,,,0,,Asia/Kolkata,0,,,
DIT,DIT,DOHRIGHAT,DOHRIGHAT,,26.266325,83.511887,,,0,,Asia/Kolkata,0,,,
DIU,DIU,DHING,DHING,,26.453131,92.450895,,,0,,Asia/Kolkata,0,,,
DIVA,DIVA,DIVA,DIVA,,19.1886,73.0421,,,0,,Asia/Kolkata,0,,,
DIW,DIW,DHILWAN,DHILWAN,,31.4986,75.3347,,,0,,Asia/Kolkata,0,,,
DIWR,DIWR,DIGWAR HALT,DIGWAR HALT,,23.6913,85.534579,,,0,,Asia/Kolkata,0,,,
DJ,DJ,DARJEELING,DARJEELING,,27.037741,88.262916,,,0,,Asia/Kolkata,0,,,
DJA,DJA,DAOTUHAJA,DAOTUHAJA,,25.227771,93.162432,,,0,,Asia/Kolkata,0,,,
DJD,DJD,DIDARGANJ ROAD,DIDARGANJ ROAD,,26.0922,82.805,,,0,,Asia/Kolkata,0,,,
DJG,DJG,DULIAJAN,DULIAJAN,,27.367242,95.306482,,,0,,Asia/Kolkata,0,,,
DJHR,DJHR,DEOJHAR,DEOJHAR,,22.080747,85.477023,,,0,,Asia/Kolkata,0,,,
DJI,DJI,DHORAJI,DHORAJI,,21.7217,70.4444,,,0,,Asia/Kolkata,0,,,
DJL,DJL,DODJALA H,DODJALA H,,13.1829,77.6518,,,0,,Asia/Kolkata,0,,,
DJR,DJR,DOMJUR,DOMJUR,,22.6415,88.2123,,,0,,Asia/Kolkata,0,,,
DJS,DJS,DHURANI JWAS HALT,DHURANI JWAS HALT,,25.220084,86.047325,,,0,,Asia/Kolkata,0,,,
DJX,DJX,DUNGRIPADI,DUNGRIPADI,,21.0607,83.559,,,0,,Asia/Kolkata,0,,,
DK,DK,DAKOR,DAKOR,,22.7468,73.1582,,,0,,Asia/Kolkata,0,,,
DKAE,DKAE,DANKUNI,DANKUNI,,22.677342,88.291411,,,0,,Asia/Kolkata,0,,,
DKB,DKB,DAKSHIN BARI,DAKSHIN BARI,,22.657106,88.178501,,,0,,Asia/Kolkata,0,,,
DKBJ,DKBJ,DAHAR KA BALAJI,DAHAR KA BALAJI,,26.944491,75.765839,,,0,,Asia/Kolkata,0,,,
DKC,DKC,DEVARKADRA,DEVARKADRA,,16.630764,77.838521,,,0,,Asia/Kolkata,0,,,
DKD,DKD,DONAKONDA,DONAKONDA,,15.8343,79.4838,,,0,,Asia/Kolkata,0,,,
DKDE,DKDE,DANKAUR,DANKAUR,,28.4148,77.6427,,,0,,Asia/Kolkata,0,,,
DKDP,DKDP,DAKSHIN DURGAPR,DAKSHIN DURGAPR,,22.308791,88.399258,,,0,,Asia/Kolkata,0,,,
DKE,DKE,DIHAKHO,DIHAKHO,,25.427617,93.126297,,,0,,Asia/Kolkata,0,,,
DKGN,DKGN,DEKARGAON,DEKARGAON,,26.680546,92.762842,,,0,,Asia/Kolkata,0,,,
DKGS,DKGS,DINKAR GRAM SIMARIA,DINKAR GRAM SIMARIA,,25.411398,86.013721,,,0,,Asia/Kolkata,0,,,
DKI,DKI,DHARMKUNDI,DHARMKUNDI,,22.509068,77.54631,,,0,,Asia/Kolkata,0,,,
DKJ,DKJ,DORNAKAL JN,DORNAKAL JN,,17.4456,80.1528,,,0,,Asia/Kolkata,0,,,
DKJR,DKJR,DHEKIAJULI ROAD,DHEKIAJULI ROAD,,26.809364,92.452698,,,0,,Asia/Kolkata,0,,,
DKLU,DKLU,DOIKALLU,DOIKALLU,,19.7416,83.4814,,,0,,Asia/Kolkata,0,,,
DKM,DKM,DIKOM,DIKOM,,27.470277,95.095682,,,0,,Asia/Kolkata,0,,,
DKMN,DKMN,DEORIA KURHMA NARESH HALT,DEORIA KURHMA NARESH HALT,,24.848008,84.396315,,,0,,Asia/Kolkata,0,,,
DKN,DKN,DEVANGONTHI,DEVANGONTHI,,12.9856,77.831,,,0,,Asia/Kolkata,0,,,
DKO,DKO,DEVAKOTTAI ROAD,DEVAKOTTAI ROAD,,10.0374,78.7615,,,0,,Asia/Kolkata,0,,,
DKR,DKR,DEKPURA HALT,DEKPURA HALT,,25.300734,85.530796,,,0,,Asia/Kolkata,0,,,
DKRA,DKRA,DHUANKHERI,DHUANKHERI,,24.5051,75.8981,,,0,,Asia/Kolkata,0,,,
DKRD,DKRD,DOCKYARD ROAD,DOCKYARD ROAD,,18.966343,72.844194,,,0,,Asia/Kolkata,0,,,
DKS,DKS,DAREKASA,DAREKASA,,21.271,80.5805,,,0,,Asia/Kolkata,0,,,
DKT,DKT,DHULKOT,DHULKOT,,30.3959,76.7878,,,0,,Asia/Kolkata,0,,,
DKU,DKU,DUMRI KHURD P.H.,DUMRI KHURD P.H.,,21.310166,79.312019,,,0,,Asia/Kolkata,0,,,
DKW,DKW,DHANAKWADA,DHANAKWADA,,24.146127,71.823292,,,0,,Asia/Kolkata,0,,,
DKWA,DKWA,DOKWA,DOKWA,,28.579547,75.323124,,,0,,Asia/Kolkata,0,,,
DKX,DKX,DUDHWAKHARA,DUDHWAKHARA,,28.45858,75.165195,,,0,,Asia/Kolkata,0,,,
DKY,DKY,DHOKI,DHOKI,,18.353466,76.103239,,,0,,Asia/Kolkata,0,,,
DKZ,DKZ,DELHI KISHANGNJ,DELHI KISHANGNJ,,28.664232,77.200756,,,0,,Asia/Kolkata,0,,,
DL,DL,DALADI,DALADI,,22.5852,71.0694,,,0,,Asia/Kolkata,0,,,
DLB,DLB,DAULATABAD,DAULATABAD,,19.916387,75.210514,,,0,,Asia/Kolkata,0,,,
DLC,DLC,DULMERA,DULMERA,,28.417372,73.65612,,,0,,Asia/Kolkata,0,,,
DLCR,DLCR,DULLABCHERRA,DULLABCHERRA,,24.5049,92.4773,,,0,,Asia/Kolkata,0,,,
DLD,DLD,DALAUDA,DALAUDA,,23.949,75.1058,,,0,,Asia/Kolkata,0,,,
DLDE,DLDE,DALDALI,DALDALI,,25.819981,93.516912,,,0,,Asia/Kolkata,0,,,
DLF,DLF,DALAN,DALAN,,25.6118,87.5608,,,0,,Asia/Kolkata,0,,,
DLGN,DLGN,DHALGAON,DHALGAON,,17.120617,74.988363,,,0,,Asia/Kolkata,0,,,
DLI,DLI,DELHI JN.,DELHI JN.,,28.661596,77.228136,,,0,,Asia/Kolkata,0,,,
DLJ,DLJ,DHOLA JN,DHOLA JN,,21.822939,71.738663,,,0,,Asia/Kolkata,0,,,
DLK,DLK,DALKOLHA,DALKOLHA,,25.8736,87.8391,,,0,,Asia/Kolkata,0,,,
DLM,DLM,DASKALGRAM,DASKALGRAM,,23.749741,87.930901,,,0,,Asia/Kolkata,0,,,
DLMH,DLMH,DHAULIMUHAN,DHAULIMUHAN,,20.0794,85.6049,,,0,,Asia/Kolkata,0,,,
DLN,DLN,DILDARNAGAR JN,DILDARNAGAR JN,,25.4192,83.6681,,,0,,Asia/Kolkata,0,,,
DLO,DLO,DALGAON,DALGAON,,26.715254,89.136114,,,0,,Asia/Kolkata,0,,,
DLP,DLP,DALPATPUR,DALPATPUR,,28.8205,78.8772,,,0,,Asia/Kolkata,0,,,
DLPC,DLPC,DAULATPUR CHAUK,DAULATPUR CHAUK,,31.771485,76.008539,,,0,,Asia/Kolkata,0,,,
DLPH,DLPH,DAULATPUR HALT,DAULATPUR HALT,,25.325893,88.332567,,,0,,Asia/Kolkata,0,,,
DLPI,DLPI,DELHI INDRAPURI,DELHI INDRAPURI,,28.600913,77.161188,,,0,,Asia/Kolkata,0,,,
DLPR,DLPR,DAYALPUR,DAYALPUR,,25.6361659,81.8911273,,,0,,Asia/Kolkata,0,,,
DLPT,DLPT,DULAKHAPATNA,DULAKHAPATNA,,21.007359,86.281214,,,0,,Asia/Kolkata,0,,,
